date,open1,high1,low1,close1,preclose1,open2,high2,low2,close2,preclose2,open3,high3,low3,close3,preclose3,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2007-8-27,5144.824,5192.061,5092.076,5150.118,5107.668,5144.824,5192.061,5092.076,5150.118,5107.668,5144.824,5192.061,5092.076,5150.118,5107.668,11615424400,1.76E+11,0.04154,1,0.831107,,,,,0
2007-8-28,5134.141,5209.507,5058.446,5194.689,5150.118,5134.141,5209.507,5058.446,5194.689,5150.118,5134.141,5209.507,5058.446,5194.689,5150.118,10543673900,1.67E+11,0.037682,1,0.865433,,,,,0
2007-8-29,5147.713,5204.526,5063.412,5109.427,5194.689,5147.713,5204.526,5063.412,5109.427,5194.689,5147.713,5204.526,5063.412,5109.427,5194.689,10082413900,1.62E+11,0.03603,1,-1.641334,,,,,0
2007-8-30,5144.111,5186.526,5109.662,5167.884,5109.427,5144.111,5186.526,5109.662,5167.884,5109.427,5144.111,5186.526,5109.662,5167.884,5109.427,10121058400,1.55E+11,0.036161,1,1.144102,,,,,0
2007-8-31,5184.091,5235.157,5158.368,5218.825,5167.884,5184.091,5235.157,5158.368,5218.825,5167.884,5184.091,5235.157,5158.368,5218.825,5167.884,10355626100,1.57E+11,0.036941,1,0.98573,,,,,0
2007-9-3,5257.777,5327.538,5257.777,5321.055,5218.825,5257.777,5327.538,5257.777,5321.055,5218.825,5257.777,5327.538,5257.777,5321.055,5218.825,12577964900,1.89E+11,0.044862,1,1.95887,,,,,0
2007-9-4,5333.4,5357.926,5264.996,5294.045,5321.055,5333.4,5357.926,5264.996,5294.045,5321.055,5333.4,5357.926,5264.996,5294.045,5321.055,12042636800,1.86E+11,0.042929,1,-0.507611,,,,,0
2007-9-5,5296.07,5337.929,5223.67,5310.716,5294.045,5296.07,5337.929,5223.67,5310.716,5294.045,5296.07,5337.929,5223.67,5310.716,5294.045,9624062400,1.51E+11,0.034288,1,0.314899,,,,,0
2007-9-6,5336.669,5412.319,5314.337,5393.66,5310.716,5336.669,5412.319,5314.337,5393.66,5310.716,5336.669,5412.319,5314.337,5393.66,5310.716,10698796600,1.65E+11,0.0381,1,1.56183,,,,,0
2007-9-7,5381.186,5405.358,5269.25,5277.176,5393.66,5381.186,5405.358,5269.25,5277.176,5393.66,5381.186,5405.358,5269.25,5277.176,5393.66,11984102900,1.87E+11,0.042677,1,-2.159654,,,,,0
2007-9-10,5208.318,5356.856,5169.905,5355.287,5277.176,5208.318,5356.856,5169.905,5355.287,5277.176,5208.318,5356.856,5169.905,5355.287,5277.176,10236823500,1.53E+11,0.036433,1,1.480173,,,,,0
2007-9-11,5362.941,5395.038,5093.923,5113.968,5355.287,5362.941,5395.038,5093.923,5113.968,5355.287,5362.941,5395.038,5093.923,5113.968,5355.287,11005526200,1.70E+11,0.039123,1,-4.506188,,,,,0
2007-9-12,5092.576,5192.302,5025.336,5172.627,5113.968,5092.576,5192.302,5025.336,5172.627,5113.968,5092.576,5192.302,5025.336,5172.627,5113.968,9705885500,1.49E+11,0.034494,1,1.147038,,,,,0
2007-9-13,5193.409,5276.771,5178.871,5273.592,5172.627,5193.409,5276.771,5178.871,5273.592,5172.627,5193.409,5276.771,5178.871,5273.592,5172.627,8655021600,1.41E+11,0.030753,1,1.951906,,,,,0
2007-9-14,5290.256,5324.439,5201.854,5312.182,5273.592,5290.256,5324.439,5201.854,5312.182,5273.592,5290.256,5324.439,5201.854,5312.182,5273.592,9467391200,1.52E+11,0.033608,1,0.731766,,,,,0
2007-9-17,5309.057,5427.171,5307.774,5421.392,5312.182,5309.057,5427.171,5307.774,5421.392,5312.182,5309.057,5427.171,5307.774,5421.392,5312.182,10563860900,1.67E+11,0.037474,1,2.05584,,,,,0
2007-9-18,5446.732,5458.578,5339.917,5425.208,5421.392,5446.732,5458.578,5339.917,5425.208,5421.392,5446.732,5458.578,5339.917,5425.208,5421.392,10269099400,1.68E+11,0.036412,1,0.070386,,,,,0
